from_bus_id	to_bus_id	resistance	reactance	susceptance	rating_a	rating_b	rating_c	ratio	angle	status	angle_min	angle_max
1	2	0.01938	0.05917	0.0528	472	472	472	0.0	0.0	1	-30.0	30.0
1	5	0.05403	0.22304	0.0492	128	128	128	0.0	0.0	1	-30.0	30.0
2	3	0.04699	0.19797	0.0438	145	145	145	0.0	0.0	1	-30.0	30.0
2	4	0.05811	0.17632	0.034	158	158	158	0.0	0.0	1	-30.0	30.0
2	5	0.05695	0.17388	0.0346	161	161	161	0.0	0.0	1	-30.0	30.0
3	4	0.06701	0.17103	0.0128	160	160	160	0.0	0.0	1	-30.0	30.0
4	5	0.01335	0.04211	0.0	664	664	664	0.0	0.0	1	-30.0	30.0
4	7	0.0	0.20912	0.0	141	141	141	0.978	0.0	1	-30.0	30.0
4	9	0.0	0.55618	0.0	53	53	53	0.969	0.0	1	-30.0	30.0
5	6	0.0	0.25202	0.0	117	117	117	0.932	0.0	1	-30.0	30.0
6	11	0.09498	0.1989	0.0	134	134	134	0.0	0.0	1	-30.0	30.0
6	12	0.12291	0.25581	0.0	104	104	104	0.0	0.0	1	-30.0	30.0
6	13	0.06615	0.13027	0.0	201	201	201	0.0	0.0	1	-30.0	30.0
7	8	0.0	0.17615	0.0	167	167	167	0.0	0.0	1	-30.0	30.0
7	9	0.0	0.11001	0.0	267	267	267	0.0	0.0	1	-30.0	30.0
9	10	0.03181	0.0845	0.0	325	325	325	0.0	0.0	1	-30.0	30.0
9	14	0.12711	0.27038	0.0	99	99	99	0.0	0.0	1	-30.0	30.0
10	11	0.08205	0.19207	0.0	141	141	141	0.0	0.0	1	-30.0	30.0
12	13	0.22092	0.19988	0.0	99	99	99	0.0	0.0	1	-30.0	30.0
13	14	0.17093	0.34802	0.0	76	76	76	0.0	0.0	1	-30.0	30.0
